Article ID;Title;Author;Publication year;Title secondary;URL;DOI;Abstract;Criteria for exclusion;;;;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz
200;"Hydrogen in low carbon economies and its bottlenecks
";"Azevedo, L.P.; Lagarinhos, C.A.F.";2025;"Accelerating the Transition to a Hydrogen Economy: Achieving Carbon Neutrality Volume 2
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006614033&doi=10.1016%2FB978-0-443-22399-0.00005-0&partnerID=40&md5=d1141478de4253002834eadd35c0fbe7
";"10.1016/B978-0-443-22399-0.00005-0
";"Hydrogen is recognized as a promising and attractive energy carrier to decarbonize the sectors responsible for global warming, such as electricity production, industry, and transportation. However, although hydrogen releases only water as a result of its reaction with oxygen through a fuel cell, the hydrogen production pathway is currently a challenging issue since hydrogen is produced mainly from thermochemical processes (natural gas reforming, coal gasification). The aging of existing energy system infrastructure, the threat of climate change, and uncertainty in the movement of energy prices have resulted in widespread agreement on the need for a transition to a low-carbon energy system. Yet the nature of this transition (i.e., what, when, how, and where) and its socioeconomic outcomes at different scales are not well understood. The development of zero-carbon fuels—for instance, biofuels, synthetic gas, and/or hydrogen—will be necessary to supply low-carbon energy to end uses that are not easily electrified. Achieving absolute zero electricity sector emissions is prohibitively expensive unless there is access to zero-carbon fuels or long-duration storage, with potential emerging resources including hydrogen, advanced nuclear, long-duration energy storage, synthetic fuels, or biofuels. This paper has two aims: (i) to discuss the changing relationship between the spatial organization of economic activities and energy systems during the transition to low-carbon economies and (ii) to identify the bottlenecks in methods and tools from urban and regional planning to help with the delivery of efficient and equitable policy outcomes in response to these challenges. Implicit in our analysis is that focusing on the local, community, or urban level does not offer a framework sufficient to understand and monitor the associated changes. Economic development, social interactions, and land use patterns have always been intricately linked with demands for energy and the uses to which it is put. Over time, economies of scale and advances in electricity network technologies (both at the transmission and distribution levels) enabled increases in the size of generation facilities. Hydrogen is the potential source of energy for the next few years if the costs and production increase to the level of fossil fuels. As a result, a centralized infrastructure with extensive delivery networks (national or even intercontinental) and a limited number of large generators emerged in many industrialized countries. © 2025 Elsevier Inc. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;again only part of energy sector;;;;;;;;;;;;;;;;;;;;
201;"Machine Learning Framework for Optimized CO2 Storage and EOR Applications
";"Kumar, S.; Soni, U.; Vishal, V.";2025;"EAGE/FESM Conference on Petrophysics Meets Geoscience: Unlocking Reservoir Potential in a Dynamic Energy Landscape
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031700097&doi=10.3997%2F2214-4609.202577045&partnerID=40&md5=aed33504c21a3b1f1dceeed8cce02887
";"10.3997/2214-4609.202577045
";"Geological CO2 storage plays a crucial role in mitigating climate change and achieving India’s net-zero emissions target by 2070. CO2-Enhanced Oil Recovery (CO2-EOR) offers a dual advantage-enhanced oil production and permanent CO2 sequestration. A key parameter for successful CO2-EOR is the Minimum Miscibility Pressure (MMP), which determines the efficiency of oil displacement. However, traditional MMP estimation methods, such as slim-tube tests and empirical correlations, are often expensive, time-intensive, and limited in accuracy. This study introduces a machine learning (ML)-based framework for fast and accurate MMP prediction. A dataset comprising 968 MMP values was curated from literature, including inputs like reservoir temperature, oil/gas composition, and molecular weights. Three ML models-Multi-Layer Perceptron, Random Forest, and XGBoost-were developed and evaluated. XGBoost outperformed the others, achieving an R2-score of 99.03% on training and 95.78% on validation data. Model interpretability using SHAP (Shapley Additive Explanations) revealed that reservoir temperature and CO2 purity significantly affect MMP-higher temperatures raise MMP, while higher CO2 purity lowers it. This ML-driven approach offers a cost-effective, scalable solution for MMP prediction, enhancing CO2-EOR planning and supporting India’s goals in energy security and carbon neutrality. © 2025 EAGE Publications BV. All Rights Reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;only argues with net-zero, does not directly assesses cn;;;;;;;;;;;;;;;;;;;;India;;;;;;;;;;;;;;;;;;;;again only parts of sector;;;;;;;;;;;;;;;;;;;;
202;"Evaluating the machine learning‑based models for predicting carbon neutrality in Sub-Saharan African Nations
";"Agan, B.; Celik, S.; Damak, O.I.; Miba’am, B.";2025;"Environment, Development and Sustainability
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005556659&doi=10.1007%2Fs10668-025-06289-y&partnerID=40&md5=b7a4c93aebd262b4a3eceeb85355c5a0
";"10.1007/s10668-025-06289-y
";"Achieving net-zero emission goals is a critical challenge for Sub-Saharan Africa, a region burdened with distinct economic and environmental pressures. This study employs a comparative machine learning (ML) framework, utilizing Decision Tree, XGBoost, Random Forest, Elastic Net, Lasso, and AdaBoost models, to predict CO₂ emissions based on key socioeconomic and energy-related factors, including energy efficiency, government stability, clean energy, GDP per capita, and population. The Random Forest model outperformed others, achieving an RMSE of 0.310, MAPE of 2.73%, MAE of 0.228, and R2 of 0.954, indicating its robustness in handling nonlinear interactions. Sensitivity analysis and the SHAP model revealed that government stability has minimal influence on CO₂ emissions, while feature importance analysis identified population as the most critical determinant. Additionally, the results highlight regional variations, with Ethiopia, Ghana, and South Africa showing consistent prediction trends, whereas countries like Burundi, Gabon, Mozambique, and Zimbabwe exhibit higher prediction uncertainties. These findings underscore the necessity for policymakers in Sub-Saharan Africa to prioritize targeted investments in clean energy, implement enhanced regulatory frameworks, and foster regional cooperation to achieve carbon neutrality. The study also emphasizes the value of machine learning techniques in providing actionable insights for sustainable development in resource-constrained regions. © The Author(s) 2025.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;"Spatiotemporal Characteristics and Influencing Factors of Carbon Emissions and Sequestration in Resource-Based Cities Based on Land Use Change
";"Bao, K.; Xu, R.; Zhang, S.";2025;"Processes
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025888421&doi=10.3390%2Fpr13124047&partnerID=40&md5=a782b1ba404f7c5e2a2c7a093ad2b914
";"10.3390/pr13124047
";"Resource-based cities generally have large carbon-emission, and their carbon balance status is receiving more attention. Land use is a key factor in regulating regional carbon balance. To explore the relationship between land use patterns and carbon balance in resource-based cities, we selected nine cities in Anhui, a major energy province, as the research object. Based on the land use data (2000–2020) and the carbon emission coefficient method, we calculated the carbon emissions, carbon sequestration, and net carbon emissions to show their spatiotemporal evolution. The Logarithmic Mean Divisia Index (LMDI) method was employed to explore the driving factors of carbon emissions. The results indicated the following: (1) Net carbon emissions increased by 149.60%, and the growth rate had slowed down since 2015. Forestland constituted the primary carbon sink, whereas cropland was the dominant carbon source. The spatial distribution of carbon emissions and carbon sequestration was uneven. (2) The economic development level and energy consumption density were the principal factors of emission increases. Conversely, carbon emission intensity and land use economic efficiency served as the key mitigating factors. © 2025 by the authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;"Assessing the impacts of economy-wide emissions policies in the water, energy, and land systems considering water scarcity scenarios
";"Licandeo, F.; Flores, F.; Feijoo, F.";2023;"Applied Energy
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153617795&doi=10.1016%2Fj.apenergy.2023.121115&partnerID=40&md5=ba33f5ed4fc529a1eeee931f726a3aa1
";"10.1016/j.apenergy.2023.121115
";"Nowadays, global water shortages are an important challenge, due to the implications of water use in the agricultural, industrial, and energy sectors. In fact, one of the largest consumers of water is the energy sector, due to intensive water demand for cooling processes of fossil fuel power plants, or for the extraction of shale gas resources. Although there has been a 22% reduction in the use of water in the power sector from 2015 to 2020 (due to the increase of renewable energy), there is still a significant yearly volume of 47.5 trillion gallons needed for cooling of fuel based power plants in the United States. Therefore, water shortage generates integrated planning challenges among energy, water, and land systems when planning economy-wide transitions towards carbon neutrality. This paper evaluates carbon budgets consistent with those declared by the US Nationally Determined Contributions under water scarcity conditions in the context of energy–water–food nexus. The Global Change Analysis Model at the US state level (GCAM-USA) is used for this purpose. This model integrates different systems that allow us to study different mitigation strategies for these budgets for the US energy system. The results indicate that in order to achieve the US NDC, electrification of final demand sectors is required, reaching increased electricity supply of up to 90%. The mix of wind, solar, and CCS (gas and biomass) technologies that will supply that increased electricity demand depend on the level of water availability. Indeed, when water constraints are imposed, it is observed the that land sector is not able to supply biomass to the power sector, resulting in a 12% reduction of biomass based electricity participation. © 2023 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
206;"Renewable Energy Technical Potential Performance for Zero Carbon Emissions
";Burrington, J.D.;2024;"ACS Omega
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194487349&doi=10.1021%2Facsomega.4c00273&partnerID=40&md5=cc49077b7c24ab9047f8d598d41f5cb6
";"10.1021/acsomega.4c00273
";"Global 2021 energy flows indicate sectors with the greatest opportunities for efficiency improvements and emissions reduction. Analysis of the International Energy Agency’s 2050 Net Zero Emissions (NZE) Scenario with respect to the 2021 energy profile as a reference point provides a model for changes in energy efficiency, emissions reduction, cost, and land use resulting from substitutions of fossil fuels with renewable options at the levels required for net zero emissions by 2050. Even with optimized outcomes, the probability of such widespread changes occurring over the next 30 years is reduced by the need for large investments, infrastructure changes, and the successful deployment of technologies still under development. Achievement of the technical potential outcomes for alternative solar energy to fuels conversion technologies, including cultivated microalgae biomass and biofuels and photocatalytic and photobiological hydrogen, would reduce reliance on mature renewable technologies and provide increase in net energy (“power to wheels”) to help meet the demands of a growing population while reducing cost and CO2 emissions compared to the baseline 2050 NZE scenario. Such technical potential performance along with those for solar and wind represents 4 billion tons of CO2 removal (a 28% increase) over the baseline 2050 NZE Scenario but still requires another 9.5 billion tons of carbon capture and removal (CCR) to achieve NZE. © 2024 The Author. Published by American Chemical Society.
";;"Explicitly assesses at least one  region ?  (Population); ";;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;analysis of an existing scenario (IEA's NZE);;;;;;;;;;;;;;;;;;;
207;"MODERATE ASSESSMENT OF THE EUROPEAN GREEN PACT: IS THE GLASS HALF EMPTY OR HALF FULL?
";de Sadeleer, N.;2024;"Actualidad Juridica Ambiental
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201214995&doi=10.56398%2Fajacieda.00371&partnerID=40&md5=e34f9f8d98fb60a1697a752d25fb657e
";"10.56398/ajacieda.00371
";"Three years after its adoption, and one month out from European elections with the potential to deliver a political earthquake, one might ask whether this Deal is likely to create a new economic model, or whether it amounts to little more than “greenwashing” of the internal market, transport, energy, and common commercial policy. Whilst the answer to this question will inevitably be qualified, we shall see that traditional economic interests have largely prevailed over the fight against pollution and the ecosystemic approach, whereas the social pillar of sustainable development risks being the big loser of the green transition. Finally, all of a sudden nature protection has become a scapegoat for some agricultural lobbies. © 2024, Centro de Investigaciones Energeticas Medioambientales y Tecnologicas (CIEMAT). All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Implicitly mentioned with ""European green pact"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;"A Multi-scale Indicators Carbon Emission Prediction Method Based on Decision Forests
";"Zhu, D.; Miao, W.; Cheng, S.; Fan, C.";2024;"Lecture Notes in Computer Science
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201221044&doi=10.1007%2F978-981-97-5666-7_17&partnerID=40&md5=53618c345252359512fae2fdc90889e2
";"10.1007/978-981-97-5666-7_17
";"At the 2020 United Nations General Assembly, China presented its ‘dual carbon’ plan, which aims to reach the peak of carbon emissions and achieve carbon neutrality. However, accurately estimating and forecasting carbon emissions remains a significant challenge. Traditional methods for predicting carbon emissions are often limited and inaccurate. Decision Forests has recently shown promising advancements in addressing forecasting challenges. Thus, this study developed a carbon emission prediction model based on decision forests that incorporates a multi-scale indicator system. Decision Forests was employed for data mining using multi-scale indicator information. Key indicators such as energy consumption, population, GDP, and industrial consumption play a crucial role in predicting carbon emissions and enhancing the forecast accuracy of this model. Experimental results show that the proposed model outperforms other models in forecasting carbon emissions. Finally, this study provides detailed planning for governments and businesses based on predictions. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;"Only carbon neutrality; other GHG emissions are not considered.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;"Landscape Patterns and Carbon Emissions in the Yangtze River Basin: Insights from Ensemble Models and Nighttime Light Data
";"Pan, B.; Wang, Q.; Diao, Z.; Li, J.; Liu, W.; Gao, Q.; Shu, Y.; Du, J.";2025;"Atmosphere
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020181893&doi=10.3390%2Fatmos16101173&partnerID=40&md5=7f3aa3de2a05fd59a90a30a64b3ad4e4
";"10.3390/atmos16101173
";"Land use patterns are a critical driver of changes in carbon emissions, making it essential to elucidate the relationship between regional carbon emissions and land use types. As a nationally designated economic strategic zone, the Yangtze River Basin encompasses megacities, rapidly developing medium-sized cities, and relatively underdeveloped regions. However, the mechanism underlying the interaction between landscape patterns and carbon emissions across such gradients remains inadequately understood. This study utilizes nighttime light, land use and carbon emissions datasets, employing XGBoost, CatBoost, LightGBM and a stacking ensemble model to analyze the impacts and driving factors of land use changes on carbon emissions in the Yangtze River Basin from 2002 to 2022. The results showed: (1) The stacking ensemble learning model demonstrated the best predictive performance, with a coefficient of determination (R2) of 0.80, a residual prediction deviation (RPD) of 2.22, and a root mean square error (RMSE) of 4.46. Compared with the next-best models, these performance metrics represent improvements of 19.40% in R2 and 28.32% in RPD, and a 22.16% reduction in RMSE. (2) Based on SHAP feature importance and Pearson correlation analysis, the primary drivers influencing CO2 net emissions in the Yangtze River Basin are GDP per capita (GDPpc), population density (POD), Tertiary industry share (TI), land use degree comprehensive index (LUI), dynamic degree of water-body land use (Kwater), Largest patch index (LPI), and number of patches (NP). These findings indicate that changes in regional landscape patterns exert a significant effect on carbon emissions in strategic economic regions, and that stacked ensemble models can effectively simulate and interpret this relationship with high predictive accuracy, thereby providing decision support for regional low-carbon development planning. © 2025 by the authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Land use sector is assessed.;;;;;;;;;"aggree
";;;;;;;;;;;Quantitative modelling is used.;;;;;;;;;aggree
212;"Nondestructive Quantification of Soil Mineral Associated Organic Carbon Species and Their Distribution at the Global Scale
";"Gao, D.; Qu, C.; Peacock, C.; Su, X.; Zheng, Q.; Zhao, J.; Cai, P.; Chen, W.; Hao, X.; Chen, C.; Huang, Q.";2025;"Environmental Science and Technology
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025255091&doi=10.1021%2Facs.est.5c12746&partnerID=40&md5=9a34912ac9da0376269fe6a46f693220
";"10.1021/acs.est.5c12746
";"Several traditional chemical methods have been widely used in the evaluation of soil mineral associated organic carbon (MAOC). Yet, these methods may underestimate or overestimate the different MAOC species due to incomplete extraction or weak selectivity. Here, we establish a nondestructive technique to assess different MAOC species using SEM-EDS combined with a mineral fingerprint algorithm. We find that Fe oxyhydroxides (Fe-OC), phyllosilicates (Si-OC), Fe oxyhydroxides-Ca (Fe–Ca–OC) and Ca associated OC (Ca-OC) contribute to MAOC storage by 44.6 ± 29.3%, 24.2 ± 19.9%, 17.2 ± 16.5%, and 14.0 ± 18.8%, respectively, along a latitudinal gradient (18–47 N°, 3600 km) in China. Using the Random Forest model, we estimate the contribution of the four MAOC species to OC preservation in global soils at 1 m depth to be 333 ± 25, 191 ± 36, 207 ± 23, and 194 ± 25 Pg C, respectively. Our predictions challenge prevailing ideas on the preservation and distribution of MAOC species in soils. A holistic conceptual framework is proposed to describe the distribution patterns of MAOC species. Contrary to the current understanding, Fe–Ca–OC and Si-OC may play a critical role in the accumulation of OC in alkaline and acidic soils, respectively. © 2025 American Chemical Society
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;"Global Plastic Industry Transition Addressing Key Drivers of the Triple Planetary Crisis
";"Huo, J.; Wang, Z.; Oberschelp, C.; Hellweg, S.";2025;"Environmental Science and Technology
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016330072&doi=10.1021%2Facs.est.5c08703&partnerID=40&md5=77976e34b7a2cee5b169ab6ba8850b64
";"10.1021/acs.est.5c08703
";"The sustainable transition of the plastic industry─shifting from its fossil reliance and linear produce–use–dispose model─is imperative to minimize its contribution to the triple planetary crisis of climate change, biodiversity loss, and pollution. While previous studies assessed transition strategies in isolation, focused mainly on climate impacts, and neglected regional differences, our integrated model assesses transition strategies, globally and regionally, addressing the potential co-benefits and trade-offs across several key drivers of the triple planetary crisis. We note that other important impacts, such as microplastic leakage, remain to be quantified. Achieving a net-zero plastic industry by 2050 (1 Gt annual production) is technically feasible through lignocellulose residue-based feedstocks, recycling, and carbon capture. Meanwhile, this would require consuming all available global lignocellulose residues (2.3 Gt), early retirement of fossil infrastructure to avoid at least 0.35 Gt CO2-eq emissions, and ensuring grid decarbonization, presenting great challenges. Without internationally coordinated relocation of plastic production facilities or trade of biomass feedstocks or the derived intermediate chemicals, global net zero becomes unattainable. The global climate benefits through the transition come with trade-offs in higher land-use-related biodiversity loss and particulate matter-related health impacts, especially in regions with vulnerable ecosystems and dense populations, necessitating tailored regional solutions. Reducing primary plastics production could ease the transition, but unsustainable material substitutes need to be avoided. © 2025 The Authors. Published by American Chemical Society
";;"Explicitly assesses at least one  region ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paper assesses transition strategies ;;;;;;does not focus on one/more regions, global focus;;;;;;;;;;;;;;Plastic industry, not entire industry sector.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;"Sustainable agriculture: Assessing the feasibility of biogas derived energy generation on a UK mixed-model farm
";"Shorrocks, W.; Wang, Y.; Huang, Y.";2025;"Energy Reports
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215207132&doi=10.1016%2Fj.egyr.2025.01.018&partnerID=40&md5=db00f21a25ebb6e051e515af9b1b1c61
";"10.1016/j.egyr.2025.01.018
";"This paper investigates the technical, economic and environmental feasibility of implementing a combined energy generation system powered by anaerobic digestion on a UK mixed-model farm. Initially a case study farm was selected, followed by a research visit in which primary data collection was conducted. Characteristic data was then processed giving the technical and operational criteria to be met. Both CHP and Trigeneration systems were modelled and evaluated for three types of bio-waste feedstock input, consisting of farmyard cow manure (FYM) only, FYM with a low quantity of wheat straw (414.7 tonnes/year), and FYM and a high quantity of wheat straw (679.3 tonnes/year). Theoretical energy outputs were computed, and the financial characteristics of each configuration were found, consisting of capital costs and operational savings achieved and the resulting payback period (PP). The CHP configuration was recommended producing 41 kW electricity alongside 66 kW thermal energy at an overall efficiency of 87.8 % from FYM only. This case yielded a capital cost of £ 331,055 with a PP of 8.5 years. © 2025 The Authors
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;"Smart Technologies for Climate Change and Net Zero Policies: Practical Approaches Towards Sustainability
";"Oyedele Oyenuga, M.; Singh, R.; Apata, S.B.; Khan, S.; Kumar, V.";2025;"Climate Change Management
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013136788&doi=10.1007%2F978-3-031-92221-3&partnerID=40&md5=ab2e6d9f80834ae8397eabe31c022895
";"10.1007/978-3-031-92221-3
";"This book provides a detailed overview of the causes, effects, and solutions to climate change as well as net zero policies in order to harness emerging technologies in order to address global warming and adopt sustainable practices for future generations without damaging the resources of today. It also offers various practical solutions and approaches for addressing global warming and the impact of net zero emissions across a range of sectors in addressing climate change and addressing global warming. The urgency to combat climate change has led to the emergence of innovative technologies that support net-zero policies and sustainability initiatives. This book examines how digital transformation and technological advancements are reshaping industries, governance, and environmental strategies to achieve a carbon-neutral future. This book provides an in-depth exploration of key technologies such as artificial intelligence, machine learning, blockchain, the Internet of Things (IoT), and big data analytics, demonstrating their role in optimizing energy efficiency, reducing carbon footprints, and enhancing environmental monitoring. It also discusses breakthroughs in green hydrogen, battery storage, carbon capture and storage (CCS), and bioengineering, showcasing how these solutions contribute to net-zero ambitions. A key highlight of this book is its focus on use of sustainable technological solutions for various sectors for climate change and net zero economy. From renewable energy breakthroughs to digital innovations such as IoT-based climate monitoring and blockchain-enabled emissions tracking, this section unpacks how technology can drive sustainability at scale. Case studies of successful implementations across different continents illustrate the transformative power of innovation in energy, urban planning, and industrial processes. Focusing on practical applications, the book covers various sectors, including manufacturing, transportation, agriculture, and urban planning. It illustrates how digital twin technology, smart grids, and precision farming can drive sustainability while fostering economic growth. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";;;;;;;;;;;;;"General comment: This is a book, not a paper.

Book engages with technologies supporting the achievement of net-zero but not a specific pathway towards net-zero.";;;;;;it addresses net zero targets;;;;;;;;;;;;;;no mention of specific regions in abstract;;;;;;As it is a book, it might mention best practice examples from specific regions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;not mentioned in the abstract;;;;;;no specific model or scenerio is mentioned;;;
219;"Zero Carbon World: Is It Possible to Achieve Global Climate Neutrality?
";"Klimenko, V.V.; Klimenko, A.V.; Tereshin, A.G.; Mikushina, O.B.";2024;"Thermal Engineering
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218138752&doi=10.1134%2FS0040601524700605&partnerID=40&md5=e39f9ee3178fa3da47240c7b1ba395b1
";"10.1134/S0040601524700605
";"Abstract: The prospects for achieving carbon neutrality in economically developed countries that are members of the Organization for Economic Cooperation and Development (OECD) and other countries are examined. An analysis of the energy and land use structure in these countries was carried out. Scenario assessments of the dynamics of changes in carbon indicators of the study economies have been developed, and a comparison has been made with forecasts from leading global energy agencies. It has been shown that, at the current rate of decarbonization and development of the carbon capture and storage (CCS) industry, it is impossible for countries in both groups to fulfill their commitments to achieve climate neutrality in 2050–2070; this goal cannot be achieved before the end of this century. The central challenge in achieving climate neutrality is the rapid and large-scale implementation of CCS technologies in all their possible manifestations. Using a set of global climate system models, calculations of the global average temperature (GAT) were performed for the proposed scenarios, and their results were compared with other works. Despite the fact that climate change occupies almost a leading place on the global agenda, the actual results of efforts in this area are far from those declared, and it is now impossible to cap warming to within 1.5°C. The key task is to minimize the time the global climate system remains in the dangerous extreme zone (above 1.5°C), which will require the emergence of a global economy with negative greenhouse gas (GHG) emissions. © Pleiades Publishing, Ltd. 2024.
";;"Explicitly assesses at least one  region ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;"THE POTENTIAL ROLE OF AGRICULTURAL RESIDUES IN SUPPLYING GASEOUS FUELS FOR THE STEEL INDUSTRY
";"Nylund, E.J.; Hammar, A.F.; Engstam, L.; Tayebi, A.";2025;"European Biomass Conference and Exhibition Proceedings
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018914467&partnerID=40&md5=fcfbe17e5c2a7688c1d27795aae77ff3
";;"In the transition to carbon neutrality and fossil free steel production, biofuels are expected to play an important role. Solid biocarbon materials as well as gaseous fuels are needed for metallurgical purposes and heating. Previous investigations into the supply of biogenic fuels to the Swedish steel industry has focused on the large forestry sector, and woody biomass. This study presents an inventory of energy gas production potential based on available agricultural residues in Sweden, evaluating valorisation using anaerobic digestion as well as gasification, with methane and hydrogen as possible products. The study takes into account the machinery fuel needs in the agricultural sector, and shows that the available agricultural residues in central Sweden has a gas production potential large enough to satisfy local machinery demands, as well as the heating gas demands from the local steel actors. The agricultural sector in the north of Sweden cannot produce a surplus of energy gases, but the southern and western areas have surpluses large enough to supply most of the needs of the north. To make such internal redistribution feasible, methane is the most promising output gas. This indicates that agricultural residues merit consideration in supply scenarios for the steel industry in Sweden. © 2025, ETA-Florence Renewable Energies. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;talks about climate mitigation in agricultural sector but no specific climate neutrality target.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
